series,episode,baker,baker_last_name,baker_age,hometown,baker_occupation,technical,result,signature_bake,show_stopper
4,1,Glenn,Cosby,37,"Teignmouth, Devon",English Teacher,4,IN,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake
4,1,Mark,Onley,37,Milton Keynes,Carpenter and Kitchen Fitter,5,IN,Lemon and Poppy Seed Cake,Chocolate Monster
4,1,Howard,Middleton,51,Sheffield,Council Worker,6,IN,Passion Fruit and Coconut Cake,Black Forest Revisited
4,1,Frances,Quinn,31,"Market Harborough, Leicestershire",Children's Clothes Designer,7,IN,Giant Jam Sandwich,Secret Squirrel Cake
4,1,Beca,Lyne,31,"Aldershot, Hampshire",Military Wives' Choir Singer,8,IN,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
4,1,Deborah,Manger,51,Peterborough,Dentist,9,IN,Pineapple Cake,'Coffee Time'
4,1,Kimberley,Wilson,30,London,Psychologist,10,IN,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake"
4,1,Ali,Imdad,25,"Saltley, Birmingham",Charity worker,11,IN,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
4,1,Ruby,Tandoh,20,"Southend, Essex",History of Art and Philosophy Student,12,IN,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake
4,1,Toby,Waterworth,30,"Reading, Berkshire",Web Programmer,13,OUT,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake
4,2,Kimberley,Wilson,30,London,Psychologist,1,IN,Nigella Seed and Parmesan Breadsticks,Peace Bread
4,2,Frances,Quinn,31,"Market Harborough, Leicestershire",Children's Clothes Designer,2,IN,Giant Matchsticks,Sailor's Knot
4,2,Ruby,Tandoh,20,"Southend, Essex",History of Art and Philosophy Student,3,STAR BAKER,Mexican Breadsticks,White Chocolate and Orange Peacock Bread
4,2,Christine,Wallace,66,"Didcot, Oxfordshire",Director of an engraving company,4,IN,Mediterranean Breadsticks with Oregano,Double Plaited Loaf
4,2,Robert,Smart,54,"Melbourn, Cambridgeshire",Space Satellite Designer,5,IN,Twisty Rye Bread Sticks,Tribute Loaf
4,2,Mark,Onley,37,Milton Keynes,Carpenter and Kitchen Fitter,6,IN,Rosemary & Raisin Breadsticks,Sage & Garlic Plait
4,2,Glenn,Cosby,37,"Teignmouth, Devon",English Teacher,7,IN,Rosemary and Parmesan Grissini,Harvest Crown
4,2,Deborah,Manger,51,Peterborough,Dentist,8,IN,Fennel & Chilli Breadsticks,Walnut Fleur Loaf
4,2,Ali,Imdad,25,"Saltley, Birmingham",Charity worker,9,IN,Italian Grissini,Sweet and Savoury Yin Yang Bread
4,2,Howard,Middleton,51,Sheffield,Council Worker,10,IN,Moroccan Breadsticks,Picasso Sun Bread
4,2,Beca,Lyne,31,"Aldershot, Hampshire",Military Wives' Choir Singer,11,IN,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
4,2,Lucy,Bellamy,38,"Grimsby, Lincolnshire",Horticulturist,12,OUT,Grissini with Salt,Roast Tomato Bread
4,3,Glenn,Cosby,37,"Teignmouth, Devon",English Teacher,1,IN,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers
4,3,Robert,Smart,54,"Melbourn, Cambridgeshire",Space Satellite Designer,2,IN,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons
4,3,Ruby,Tandoh,20,"Southend, Essex",History of Art and Philosophy Student,3,IN,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes
4,3,Christine,Wallace,66,"Didcot, Oxfordshire",Director of an engraving company,4,STAR BAKER,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels
4,3,Ali,Imdad,25,"Saltley, Birmingham",Charity worker,5,IN,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
4,3,Kimberley,Wilson,30,London,Psychologist,6,IN,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits
4,3,Howard,Middleton,51,Sheffield,Council Worker,7,IN,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits
4,3,Frances,Quinn,31,"Market Harborough, Leicestershire",Children's Clothes Designer,8,IN,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
4,3,Deborah,Manger,51,Peterborough,Dentist,9,OUT,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies
4,3,Beca,Lyne,31,"Aldershot, Hampshire",Military Wives' Choir Singer,10,IN,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
4,3,Mark,Onley,37,Milton Keynes,Carpenter and Kitchen Fitter,11,OUT,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites
4,4,Frances,Quinn,31,"Market Harborough, Leicestershire",Children's Clothes Designer,1,IN,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie
4,4,Beca,Lyne,31,"Aldershot, Hampshire",Military Wives' Choir Singer,2,IN,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
4,4,Robert,Smart,54,"Melbourn, Cambridgeshire",Space Satellite Designer,3,IN,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms
4,4,Kimberley,Wilson,30,London,Psychologist,4,STAR BAKER,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie"
4,4,Howard,Middleton,51,Sheffield,Council Worker,5,IN,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan
4,4,Ruby,Tandoh,20,"Southend, Essex",History of Art and Philosophy Student,6,IN,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie"
4,4,Christine,Wallace,66,"Didcot, Oxfordshire",Director of an engraving company,7,IN,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese
4,4,Ali,Imdad,25,"Saltley, Birmingham",Charity worker,8,OUT,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
4,4,Glenn,Cosby,37,"Teignmouth, Devon",English Teacher,9,IN,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese)
4,5,Christine,Wallace,66,"Didcot, Oxfordshire",Director of an engraving company,1,STAR BAKER,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower
4,5,Glenn,Cosby,37,"Teignmouth, Devon",English Teacher,2,IN,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter
4,5,Frances,Quinn,31,"Market Harborough, Leicestershire",Children's Clothes Designer,3,IN,Millionaire Banoffee Bonus,Biscuit Buttons and Beads
4,5,Robert,Smart,54,"Melbourn, Cambridgeshire",Space Satellite Designer,4,OUT,Blueberry & Orange Traybake,Dalek
4,5,Beca,Lyne,31,"Aldershot, Hampshire",Military Wives' Choir Singer,5,IN,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
4,5,Ruby,Tandoh,20,"Southend, Essex",History of Art and Philosophy Student,6,IN,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece
4,5,Kimberley,Wilson,30,London,Psychologist,7,IN,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack
4,5,Howard,Middleton,51,Sheffield,Council Worker,8,IN,Breakfast Traybake,Japanese Pagoda Tea Tower
4,6,Ruby,Tandoh,20,"Southend, Essex",History of Art and Philosophy Student,1,STAR BAKER,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns
4,6,Frances,Quinn,31,"Market Harborough, Leicestershire",Children's Clothes Designer,2,IN,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches
4,6,Kimberley,Wilson,30,London,Psychologist,3,IN,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer
4,6,Christine,Wallace,66,"Didcot, Oxfordshire",Director of an engraving company,4,IN,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød
4,6,Glenn,Cosby,37,"Teignmouth, Devon",English Teacher,5,IN,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen
4,6,Beca,Lyne,31,"Aldershot, Hampshire",Military Wives' Choir Singer,6,IN,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
4,6,Howard,Middleton,51,Sheffield,Council Worker,7,OUT,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken
4,7,Beca,Lyne,31,"Aldershot, Hampshire",Military Wives' Choir Singer,1,IN,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
4,7,Ruby,Tandoh,20,"Southend, Essex",History of Art and Philosophy Student,2,IN,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
4,7,Glenn,Cosby,37,"Teignmouth, Devon",English Teacher,3,OUT,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
4,7,Kimberley,Wilson,30,London,Psychologist,4,IN,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
4,7,Frances,Quinn,31,"Market Harborough, Leicestershire",Children's Clothes Designer,5,STAR BAKER,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
4,7,Christine,Wallace,66,"Didcot, Oxfordshire",Director of an engraving company,6,IN,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
4,8,Ruby,Tandoh,20,"Southend, Essex",History of Art and Philosophy Student,1,STAR BAKER,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot
4,8,Kimberley,Wilson,30,London,Psychologist,2,IN,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House
4,8,Frances,Quinn,31,"Market Harborough, Leicestershire",Children's Clothes Designer,3,IN,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
4,8,Beca,Lyne,31,"Aldershot, Hampshire",Military Wives' Choir Singer,4,IN,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
4,8,Christine,Wallace,66,"Didcot, Oxfordshire",Director of an engraving company,5,OUT,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
4,9,Kimberley,Wilson,30,London,Psychologist,1,STAR BAKER,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake
4,9,Frances,Quinn,31,"Market Harborough, Leicestershire",Children's Clothes Designer,2,IN,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake
4,9,Beca,Lyne,31,"Aldershot, Hampshire",Military Wives' Choir Singer,3,OUT,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
4,9,Ruby,Tandoh,20,"Southend, Essex",History of Art and Philosophy Student,4,IN,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake"
4,10,Kimberley,Wilson,30,London,Psychologist,1,Runner-up,Chicken and Pig Pie,Languages of Love Wedding Cake
4,10,Ruby,Tandoh,20,"Southend, Essex",History of Art and Philosophy Student,2,Runner-up,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake"
4,10,Frances,Quinn,31,"Market Harborough, Leicestershire",Children's Clothes Designer,3,WINNER,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake
5,1,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager,1,STAR BAKER,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes
5,1,Martha,Collison,17,"Ascot, Berkshire",Student,2,IN,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes
5,1,Chetna,Makan,35,"Broadstairs, Kent",Fashion Designer,3,IN,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
5,1,Iain,Watters,31,London/Belfast,Construction Engineer,4,IN,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon"
5,1,Diana,Beard,69,"Alkington, Shropshire",Women's Institute (WI) Judge,5,IN,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises
5,1,Kate,Henry,41,"Brighton, East Sussex",Furniture Restorer,6,IN,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges
5,1,Luis,Troyano,42,"Poynton, Cheshire",Graphic Designer,7,IN,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles
5,1,Claire,Goodwin,31,"Ashton upon Mersey, Trafford",Speech Therapist,8,OUT,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes
5,1,Enwezor,Nzegwu,39,"Portsmouth, Hampshire",Business Consultant,9,IN,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares
5,1,Richard,Burr,38,"Mill Hill, London",Builder,10,IN,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes
5,1,Norman,Calder,66,"Portknockie, Moray",Retired Naval Officer,11,IN,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes
5,1,Jordan,Cox,32,"Sneinton, Nottingham",IT Manager,12,IN,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd
5,2,Richard,Burr,38,"Mill Hill, London",Builder,1,STAR BAKER,Rosemary Seeded Crackers,Pirates!
5,2,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager,2,IN,Fennel and Rye Thins,Hansel and Gretel Scene
5,2,Luis,Troyano,42,"Poynton, Cheshire",Graphic Designer,3,IN,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon
5,2,Kate,Henry,41,"Brighton, East Sussex",Furniture Restorer,4,IN,Parmesan and Apple Biscuits,Tea Time
5,2,Martha,Collison,17,"Ascot, Berkshire",Student,5,IN,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene
5,2,Jordan,Cox,32,"Sneinton, Nottingham",IT Manager,6,IN,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack
5,2,Diana,Beard,69,"Alkington, Shropshire",Women's Institute (WI) Judge,7,IN,Parmesan Triangles,"Express, First Class"
5,2,Chetna,Makan,35,"Broadstairs, Kent",Fashion Designer,8,IN,Fenugreek and Carom Crackers,Day On The Beach
5,2,Enwezor,Nzegwu,39,"Portsmouth, Hampshire",Business Consultant,9,OUT,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene
5,2,Norman,Calder,66,"Portknockie, Moray",Retired Naval Officer,10,IN,Farthing Biscuits,Zulu Boats at Dawn
5,2,Iain,Watters,31,London/Belfast,Construction Engineer,11,IN,Za'atar and Fig Biscuits,Wild West Scene
5,3,Kate,Henry,41,"Brighton, East Sussex",Furniture Restorer,1,IN,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread"
5,3,Luis,Troyano,42,"Poynton, Cheshire",Graphic Designer,2,STAR BAKER,Opposites Attract Rolls,Roscón de Reyes
5,3,Martha,Collison,17,"Ascot, Berkshire",Student,3,IN,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf
5,3,Norman,Calder,66,"Portknockie, Moray",Retired Naval Officer,4,IN,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf
5,3,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager,5,IN,Cider and Walnut Crusty Rolls,'Full English' Stromboli
5,3,Richard,Burr,38,"Mill Hill, London",Builder,6,IN,Rye and Cranberry Rolls,Pesto Pinwheel
5,3,Diana,Beard,69,"Alkington, Shropshire",Women's Institute (WI) Judge,7,IN,Rustic Picnic Rolls,Sharing Savoury Pinwheel
5,3,Chetna,Makan,35,"Broadstairs, Kent",Fashion Designer,8,IN,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf
5,3,Iain,Watters,31,London/Belfast,Construction Engineer,9,IN,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip
5,3,Jordan,Cox,32,"Sneinton, Nottingham",IT Manager,10,OUT,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche
5,4,Martha,Collison,17,"Ascot, Berkshire",Student,1,IN,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska
5,4,Luis,Troyano,42,"Poynton, Cheshire",Graphic Designer,2,IN,Pears in Puddings,Bakewell Alaska
5,4,Chetna,Makan,35,"Broadstairs, Kent",Fashion Designer,3,IN,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska"
5,4,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager,4,IN,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska
5,4,Richard,Burr,38,"Mill Hill, London",Builder,5,STAR BAKER,Black Forest Chocolate Fondants,Tiramisu Baked Alaska
5,4,Iain,Watters,31,London/Belfast,Construction Engineer,6,OUT,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)"
5,4,Kate,Henry,41,"Brighton, East Sussex",Furniture Restorer,7,IN,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska"
5,4,Norman,Calder,66,"Portknockie, Moray",Retired Naval Officer,8,IN,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise
5,4,Diana,Beard,69,"Alkington, Shropshire",Women's Institute (WI) Judge,9,IN,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan
5,5,Martha,Collison,17,"Ascot, Berkshire",Student,1,IN,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie
5,5,Chetna,Makan,35,"Broadstairs, Kent",Fashion Designer,2,IN,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies
5,5,Kate,Henry,41,"Brighton, East Sussex",Furniture Restorer,3,STAR BAKER,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies"
5,5,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager,4,IN,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies
5,5,Norman,Calder,66,"Portknockie, Moray",Retired Naval Officer,5,OUT,Tarte au Citron,Pieful Tower
5,5,Luis,Troyano,42,"Poynton, Cheshire",Graphic Designer,6,IN,Tropical Manchester Tart,Four Fruity Seasons Tower
5,5,Richard,Burr,38,"Mill Hill, London",Builder,7,IN,Fig and Orange Tart,Three Course Autumn Pie Feast
5,5,Diana,Beard,69,"Alkington, Shropshire",Women's Institute (WI) Judge,NA,WD,NA,NA
5,6,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager,1,IN,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte
5,6,Chetna,Makan,35,"Broadstairs, Kent",Fashion Designer,2,STAR BAKER,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
5,6,Luis,Troyano,42,"Poynton, Cheshire",Graphic Designer,3,IN,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill
5,6,Martha,Collison,17,"Ascot, Berkshire",Student,4,IN,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte
5,6,Richard,Burr,38,"Mill Hill, London",Builder,5,IN,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte
5,6,Kate,Henry,41,"Brighton, East Sussex",Furniture Restorer,6,IN,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes
5,6,Diana,Beard,69,"Alkington, Shropshire",Women's Institute (WI) Judge,NA,IN,NA,NA
5,7,Richard,Burr,38,"Mill Hill, London",Builder,1,STAR BAKER,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)"
5,7,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager,2,IN,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs
5,7,Martha,Collison,17,"Ascot, Berkshire",Student,3,IN,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs
5,7,Kate,Henry,41,"Brighton, East Sussex",Furniture Restorer,4,OUT,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs
5,7,Luis,Troyano,42,"Poynton, Cheshire",Graphic Designer,5,IN,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)"
5,7,Chetna,Makan,35,"Broadstairs, Kent",Fashion Designer,6,IN,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs
5,7,Diana,Beard,69,"Alkington, Shropshire",Women's Institute (WI) Judge,NA,IN,NA,NA
5,8,Chetna,Makan,35,"Broadstairs, Kent",Fashion Designer,1,IN,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts
5,8,Luis,Troyano,42,"Poynton, Cheshire",Graphic Designer,2,IN,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)"
5,8,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager,3,IN,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)"
5,8,Richard,Burr,38,"Mill Hill, London",Builder,4,STAR BAKER,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts
5,8,Martha,Collison,17,"Ascot, Berkshire",Student,5,OUT,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts
5,8,Diana,Beard,69,"Alkington, Shropshire",Women's Institute (WI) Judge,NA,IN,NA,NA
5,9,Luis,Troyano,42,"Poynton, Cheshire",Graphic Designer,1,IN,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges"
5,9,Richard,Burr,38,"Mill Hill, London",Builder,2,STAR BAKER,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets
5,9,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager,3,IN,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets
5,9,Chetna,Makan,35,"Broadstairs, Kent",Fashion Designer,4,OUT,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
5,9,Diana,Beard,69,"Alkington, Shropshire",Women's Institute (WI) Judge,NA,IN,NA,NA
5,10,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",Retired Practice Manager,1,WINNER,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill
5,10,Luis,Troyano,42,"Poynton, Cheshire",Graphic Designer,2,Runner-up,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate
5,10,Richard,Burr,38,"Mill Hill, London",Builder,3,Runner-up,Pear Pain au ChocolatPain Au Lait,Mill on the Hill
5,10,Diana,Beard,69,"Alkington, Shropshire",Women's Institute (WI) Judge,NA,IN,NA,NA
6,1,Ugnė,NA,NA,NA,NA,1,IN,Lemon and Thyme Madeira Cake,Falling Cup Gâteau
6,1,Alvin,Magallanes,37,"Bracknell, Berkshire",Nurse,2,IN,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
6,1,Marie,Campbell,66,"Auchterarder, Perthshire",Retired,3,STAR BAKER,Zingy Citrus Madeira Cake,A Walk in the Black Forest
6,1,Tamal,Ray,29,Manchester,Trainee anaesthetist,4,IN,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell
6,1,Dorret,Conway,53,"Penwortham, Lancashire",Accountant,5,IN,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau
6,1,Flora,Shedden,19,"Dunkeld, Perth and Kinross",Art gallery assistant,6,IN,Blood Orange Madeira Cake,Black Forest Gâteau
6,1,Mat,Riley,37,London,Fire fighter,7,IN,Gin and Tonic Madeira Cake,Black Forest Gateau
6,1,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",Travel photographer,8,IN,Somewhere West of Madeira Cake,Black Forest Cherry Tree
6,1,Sandy,Docherty,49,"Yeadon, West Yorkshire",Child welfare officer,9,IN,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau
6,1,Paul,Jagger,49,"Swansea, Wales",Prison governor,10,IN,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation
6,1,Stu,Henshall,35,"Guildford, Surrey",Professional musician,11,OUT,Marley Madeira Cake,Purple Forest Gâteau
6,1,Nadiya,Hussain,30,Leeds / Luton,Full-time mother,12,IN,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau
6,2,Dorret,Conway,53,"Penwortham, Lancashire",Accountant,1,IN,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs
6,2,Flora,Shedden,19,"Dunkeld, Perth and Kinross",Art gallery assistant,2,IN,Wedding Biscotti,Honey and Earl Grey Tea Box
6,2,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",Travel photographer,3,STAR BAKER,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture
6,2,Sandy,Docherty,49,"Yeadon, West Yorkshire",Child welfare officer,4,IN,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box
6,2,Mat,Riley,37,London,Fire fighter,5,IN,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine
6,2,Alvin,Magallanes,37,"Bracknell, Berkshire",Nurse,6,IN,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
6,2,Ugnė,NA,NA,NA,NA,7,IN,White Wine Biscotti,Baby Climbing into the Cookie Box
6,2,Tamal,Ray,29,Manchester,Trainee anaesthetist,8,IN,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box
6,2,Nadiya,Hussain,30,Leeds / Luton,Full-time mother,9,IN,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes
6,2,Paul,Jagger,49,"Swansea, Wales",Prison governor,10,IN,"Chocolate, Hazelnut and Fig Biscotti",Memory Box
6,2,Marie,Campbell,66,"Auchterarder, Perthshire",Retired,11,OUT,Biscotti Italiano,Russian Box
6,3,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",Travel photographer,1,STAR BAKER,Wild Garlic Pesto Soda Breads,Flour Power
